img_id,img_name,img_ext,img_dir,img_shape,img_size,img_mean,img_std,dtype
004daf1cbe75,004daf1cbe75.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",678186,127.84414672851562,53.891510328417986,uint8
004fb033dd09,004fb033dd09.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",668266,131.6424217224121,52.18211676335777,uint8
00168d1b7522,00168d1b7522.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",476242,179.7407366434733,46.0719306503898,uint8
0006ff2aa7cd,0006ff2aa7cd.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",593386,139.91084416707358,50.723449173930675,uint8
0033bbc76b6b,0033bbc76b6b.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",631674,157.95992279052734,45.67958652059946,uint8
005a16af0231,005a16af0231.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",604158,143.67514419555664,40.947581173473345,uint8
003504460b3a,003504460b3a.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",701794,136.82935078938803,56.84292391322597,uint8
0080d3e3b127,0080d3e3b127.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",602686,159.05532582600912,41.69631739353454,uint8
00359ab8338b,00359ab8338b.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",596624,126.13493982950847,50.63521322892547,uint8
0067d5ad2250,0067d5ad2250.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",575842,142.9272600809733,46.42405827080766,uint8
006cecb2aaff,006cecb2aaff.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",578388,144.68096923828125,48.04870847378786,uint8
00bc0c5940e1,00bc0c5940e1.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",629946,135.86436716715494,50.27389897599763,uint8
00654cc08aac,00654cc08aac.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",503694,176.6498883565267,46.97361143901413,uint8
000e79e206b7,000e79e206b7.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",681750,132.89429982503256,57.55810050227546,uint8
009eefb152d3,009eefb152d3.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",659700,163.7793986002604,42.72039918696902,uint8
00dcb6900b37,00dcb6900b37.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",574858,157.0605265299479,46.21888501360134,uint8
00656c6f2690,00656c6f2690.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",610882,157.65319442749023,50.1201154222927,uint8
00dec947e4d9,00dec947e4d9.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",657048,140.29630661010742,55.90861677831158,uint8
00176a88fdb0,00176a88fdb0.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",673838,129.75494766235352,52.82856156833685,uint8
006007019cdb,006007019cdb.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",669952,135.78438440958658,51.53693136907917,uint8
00a768c3dfa5,00a768c3dfa5.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",666180,152.3443806966146,46.03542391224433,uint8
00da8fdf2391,00da8fdf2391.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",669122,138.9363555908203,53.6352348190116,uint8
005f05ed625f,005f05ed625f.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",657402,128.65043258666992,54.00792203970742,uint8
01043adee542,01043adee542.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",635158,172.51821263631186,40.18109888525777,uint8
00b30b105c16,00b30b105c16.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",532312,187.13597106933594,42.97217144790779,uint8
0094b5dc209d,0094b5dc209d.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",630126,145.23584365844727,54.12525196204672,uint8
00cfa95bc6d4,00cfa95bc6d4.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",576264,165.66351064046225,35.86295409965803,uint8
011d54084ae1,011d54084ae1.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",628428,159.70714060465494,44.149141652531824,uint8
00c1aa401009,00c1aa401009.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",625832,164.9565684000651,40.43167219348377,uint8
0074999a704e,0074999a704e.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",622102,129.81924438476562,49.57494392985353,uint8
00c40c360378,00c40c360378.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",697468,142.2019920349121,54.53211409192837,uint8
00c89e5d88dc,00c89e5d88dc.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",580648,151.83075078328451,44.382556274390794,uint8
0054b93142c4,0054b93142c4.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",605856,159.54833984375,39.92229827537026,uint8
00ff2d7b49dc,00ff2d7b49dc.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",654910,145.2707977294922,54.469548993620094,uint8
00488ca285ee,00488ca285ee.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",571646,155.44925181070963,39.35611036232193,uint8
00c7704a1054,00c7704a1054.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",634756,154.66049448649088,44.245977397874015,uint8
00da70813521,00da70813521.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",376526,179.55847295125326,49.81109268863396,uint8
0103d61f2a5e,0103d61f2a5e.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",563506,149.8925298055013,56.348046499430566,uint8
00ca2f4c8918,00ca2f4c8918.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",637782,134.46664555867514,54.33434217970883,uint8
00d75ad65de3,00d75ad65de3.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",643258,145.4616355895996,46.55078439823145,uint8
012ededfa1cf,012ededfa1cf.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",607886,158.47101338704428,41.1844216264236,uint8
00f560a6a72b,00f560a6a72b.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",570360,131.62509791056314,55.61633613627436,uint8
00eef92a6218,00eef92a6218.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",678916,132.13093185424805,57.85029538449717,uint8
005715f0a313,005715f0a313.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",667282,120.08194732666016,53.23601082958873,uint8
0123416f5322,0123416f5322.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",551430,129.96531931559244,51.21275286248887,uint8
012b00fda14c,012b00fda14c.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",468786,164.11099497477213,57.06129106379421,uint8
00e579c5b135,00e579c5b135.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",614878,147.7299067179362,42.954329603887516,uint8
006834048f7b,006834048f7b.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",640540,164.8537915547689,42.28784121567253,uint8
01c7cce09c89,01c7cce09c89.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",634888,129.46320215861002,52.335671226139006,uint8
01c042f840bf,01c042f840bf.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",637466,139.96229934692383,50.82525638820669,uint8
013862e23aaf,013862e23aaf.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",633604,132.8005142211914,51.18139391268192,uint8
012efa4e6d9a,012efa4e6d9a.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",670714,138.42011896769205,55.05416544693747,uint8
013a387d9077,013a387d9077.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",556198,159.41806157430014,38.49253293851863,uint8
01cf04b9c135,01cf04b9c135.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",613074,141.99970499674478,52.28704892947028,uint8
0275e6a49d05,0275e6a49d05.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",564558,135.44065475463867,43.635493553771525,uint8
016de9b325a3,016de9b325a3.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",661126,153.8030662536621,46.37519534617108,uint8
01c58a343ca5,01c58a343ca5.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",620978,154.31938807169595,43.13675813293735,uint8
016c33dacfa1,016c33dacfa1.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",598544,142.1724942525228,49.75850469706993,uint8
017118b556e4,017118b556e4.tif,.tif,/hdd-pool/hubmap-hacking-the-human-vasculature/train,"(512, 512, 3)",583968,152.34196980794272,41.90849669512163,uint8
